      time,           p [    21.91      1.64         0],           p [    25.57      1.64         0],           p [    29.12      1.62         0],           p [    32.89      1.63         0],           p [    36.54      1.63         0],           p [    40.21      1.63         0]
    9.518307473955748e+01,                    2.353785914056114507e+03,                    2.365704848432334529e+03,                    2.493475460414293593e+03,                    2.552876213137757986e+03,                    2.743264697327815156e+03,                    2.683093241713137104e+03
    9.519778938007275e+01,                    2.353443900025617040e+03,                    2.363110109127760552e+03,                    2.493447943944488088e+03,                    2.558602435603635058e+03,                    2.747881903195089308e+03,                    2.668460163238453333e+03
    9.521250755873103e+01,                    2.353199574400001893e+03,                    2.360578127044389475e+03,                    2.493443829798330626e+03,                    2.564000332004085521e+03,                    2.751828816502221343e+03,                    2.653219442535509188e+03
    9.522722931654017e+01,                    2.353086600422305764e+03,                    2.358106158128326570e+03,                    2.493598288558276636e+03,                    2.569074651112613083e+03,                    2.755089136510192475e+03,                    2.637460613400446164e+03
    9.524195469357608e+01,                    2.353130617937671559e+03,                    2.355696408136814171e+03,                    2.493677425641350510e+03,                    2.573808298642667069e+03,                    2.757511809993136012e+03,                    2.621504250261330526e+03
    9.525668372884986e+01,                    2.353201350335389634e+03,                    2.353348416524028380e+03,                    2.493875686903318183e+03,                    2.578279900254641689e+03,                    2.759336709673091718e+03,                    2.604292554294661386e+03
    9.527141646031329e+01,                    2.353493616718684279e+03,                    2.351076094677054243e+03,                    2.494113650228873666e+03,                    2.582451489354211844e+03,                    2.760478496220364377e+03,                    2.587427330680965952e+03
    9.528615292462744e+01,                    2.353837149575143030e+03,                    2.348874846134710424e+03,                    2.494440750433886478e+03,                    2.586310444163638749e+03,                    2.760939023061504940e+03,                    2.570402722726481898e+03
    9.530089315695838e+01,                    2.354334511667701463e+03,                    2.346750120271447940e+03,                    2.494790850374063211e+03,                    2.589814784432272518e+03,                    2.760666775791313739e+03,                    2.553233346271929804e+03
    9.531563719109403e+01,                    2.354912706939619056e+03,                    2.344723514111570694e+03,                    2.495285471323869842e+03,                    2.592969244067993714e+03,                    2.759764229425011308e+03,                    2.535473598353217312e+03
    9.533038505936916e+01,                    2.355547529332958220e+03,                    2.342754414261985403e+03,                    2.495819653351922625e+03,                    2.595598596374866247e+03,                    2.758180789779701627e+03,                    2.517111351132577056e+03
    9.534513679256814e+01,                    2.356366029241746674e+03,                    2.340913007796007150e+03,                    2.496379371108360374e+03,                    2.598191822493045038e+03,                    2.755890877296343206e+03,                    2.498774576038779742e+03
    9.535971505377110e+01,                    2.357732738463882924e+03,                    2.339423380357727183e+03,                    2.497174778454849729e+03,                    2.601853162351609171e+03,                    2.753154393733940196e+03,                    2.481091755549910886e+03
    9.537335244994830e+01,                    2.360878183347802860e+03,                    2.338995417138924040e+03,                    2.499028344277595352e+03,                    2.604743266601827145e+03,                    2.750580644739783565e+03,                    2.464639695098712764e+03
    9.538642115420095e+01,                    2.360930677900743831e+03,                    2.337087534801590209e+03,                    2.499285777285303084e+03,                    2.605330511011734870e+03,                    2.746248718672988161e+03,                    2.447446389198319594e+03
    9.539919855947838e+01,                    2.360973674359029246e+03,                    2.335394774744271217e+03,                    2.499538483999798700e+03,                    2.606190831719328344e+03,                    2.741594566522681362e+03,                    2.430857452803103115e+03
    9.541160368904016e+01,                    2.362203421171520858e+03,                    2.334363792886175816e+03,                    2.500369331553791199e+03,                    2.607341184366098332e+03,                    2.737102694372753376e+03,                    2.415475596014023267e+03
    9.542379698512212e+01,                    2.362669335090724417e+03,                    2.333099990333936603e+03,                    2.500862949359254344e+03,                    2.607870583102571800e+03,                    2.731939592608559906e+03,                    2.400299069179840444e+03
    9.543599028120408e+01,                    2.363031189338073091e+03,                    2.331809265558175866e+03,                    2.501228337131014996e+03,                    2.608108065750824153e+03,                    2.726391057217892921e+03,                    2.385528797102842418e+03
    9.544813175758581e+01,                    2.364219144814435822e+03,                    2.331067054745681162e+03,                    2.502110251316940776e+03,                    2.608564417104430504e+03,                    2.720795225332235532e+03,                    2.371673401036927771e+03
    9.546011487696106e+01,                    2.365685281399880751e+03,                    2.330528472842483097e+03,                    2.503063594661698517e+03,                    2.610611601405923466e+03,                    2.714775512384633203e+03,                    2.358431134429598842e+03
    9.547209799633630e+01,                    2.366269637158140540e+03,                    2.329619001263848986e+03,                    2.503663246174011419e+03,                    2.610145461854460791e+03,                    2.708213748204381318e+03,                    2.344620823303800535e+03
    9.548432583410323e+01,                    2.366657790885138638e+03,                    2.328673750445815131e+03,                    2.504069961313924978e+03,                    2.609612584939173303e+03,                    2.701251895670217436e+03,                    2.330856171633446593e+03
    9.549710578031319e+01,                    2.366960793014840874e+03,                    2.327749100082619407e+03,                    2.504518215374356714e+03,                    2.608879198721737339e+03,                    2.693653874458600512e+03,                    2.316924536856526174e+03
    9.551005948734557e+01,                    2.369392208103638950e+03,                    2.328021358192487696e+03,                    2.506080105318756068e+03,                    2.609064880604062182e+03,                    2.686353271887139726e+03,                    2.304353707795044556e+03
    9.552349889576406e+01,                    2.369921853364744493e+03,                    2.327328202589620105e+03,                    2.506641386133526794e+03,                    2.609576076543716226e+03,                    2.677382975990324667e+03,                    2.290236769269704837e+03
    9.553800990414014e+01,                    2.369883950473680670e+03,                    2.326428956649961492e+03,                    2.506929371156413254e+03,                    2.607889470888510914e+03,                    2.667553374540060759e+03,                    2.276914544368327370e+03
    9.555278663044902e+01,                    2.373523975896636330e+03,                    2.327598424113290548e+03,                    2.509285697392920156e+03,                    2.608005691110614862e+03,                    2.658363823773835065e+03,                    2.263804287207568450e+03
    9.556729612571938e+01,                    2.376391630704318231e+03,                    2.328574133551534942e+03,                    2.511350122689937962e+03,                    2.607374130720413632e+03,                    2.648045296796658931e+03,                    2.252836250117304644e+03
    9.558180562098974e+01,                    2.377241176949250075e+03,                    2.328542596313551257e+03,                    2.512251875947958069e+03,                    2.605873514918747787e+03,                    2.636671009370616503e+03,                    2.239247333253601937e+03
    9.559662926349455e+01,                    2.377746813065894912e+03,                    2.328590283666946561e+03,                    2.513061117215599552e+03,                    2.604153605060395421e+03,                    2.624834263891726096e+03,                    2.226109845910072181e+03
    9.561101927769265e+01,                    2.381204414761288717e+03,                    2.330283571677233795e+03,                    2.515434235080205781e+03,                    2.603760585569522846e+03,                    2.613574158086150419e+03,                    2.214823590222397797e+03
    9.562504925954131e+01,                    2.382395916158416185e+03,                    2.330975817204880514e+03,                    2.516605483393275335e+03,                    2.603049910905653633e+03,                    2.601395249923332813e+03,                    2.202984468232363270e+03
    9.563907924138998e+01,                    2.382796002266384221e+03,                    2.331332053166963306e+03,                    2.517319185513146749e+03,                    2.600884424918348486e+03,                    2.588443783047016041e+03,                    2.190510408293676392e+03
    9.565325529232281e+01,                    2.383583089246440977e+03,                    2.332119504591624263e+03,                    2.518288305091505208e+03,                    2.599036272898770676e+03,                    2.575818980932293016e+03,                    2.181042411177739268e+03
    9.566788330541381e+01,                    2.384186558462478388e+03,                    2.332859620231402914e+03,                    2.519114454312288672e+03,                    2.596894370242313016e+03,                    2.562466187078514849e+03,                    2.170524651502663801e+03
    9.568224596234093e+01,                    2.387285088171863208e+03,                    2.335206157842789253e+03,                    2.521358425253589758e+03,                    2.595885451760363139e+03,                    2.550116252528627683e+03,                    2.162484911600201940e+03
    9.569604717124000e+01,                    2.389416479301141862e+03,                    2.337136155789532950e+03,                    2.523081472910242610e+03,                    2.594479609955139949e+03,                    2.536962364715923741e+03,                    2.154149462825900173e+03
    9.570956554780821e+01,                    2.389914872736840607e+03,                    2.338229414450886907e+03,                    2.523825918266195004e+03,                    2.592037791437702253e+03,                    2.523694236029318745e+03,                    2.146050090559585897e+03
    9.572308392437643e+01,                    2.390106780385837737e+03,                    2.339365881526810881e+03,                    2.524465957444919241e+03,                    2.590046634638842079e+03,                    2.510320130055292793e+03,                    2.138512977321786821e+03
    9.573673732202536e+01,                    2.390846866570901057e+03,                    2.340835747050195096e+03,                    2.525325716117201864e+03,                    2.587587249087694545e+03,                    2.497259166939073111e+03,                    2.131807137909862377e+03
    9.575022304526823e+01,                    2.392706379815145283e+03,                    2.343096260226875984e+03,                    2.526884267299050407e+03,                    2.585712100560429008e+03,                    2.484452315096405528e+03,                    2.126895598090743079e+03
    9.576339981290070e+01,                    2.394057608392787643e+03,                    2.345203978835051203e+03,                    2.528176357289161388e+03,                    2.583685588640935293e+03,                    2.471642604294360353e+03,                    2.121501179589428375e+03
    9.577650677192464e+01,                    2.394364863927025908e+03,                    2.346743687706840774e+03,                    2.528807548988394501e+03,                    2.580900467463201039e+03,                    2.458602373815643659e+03,                    2.116276804138818079e+03
    9.578961373094859e+01,                    2.395007519935297751e+03,                    2.348618110025305214e+03,                    2.529625961807845215e+03,                    2.578275460994849709e+03,                    2.445766387283709264e+03,                    2.111615055379787464e+03
    9.580305280835836e+01,                    2.394795333990440668e+03,                    2.350175824967023800e+03,                    2.530072729738581529e+03,                    2.575099416853880030e+03,                    2.432626869380775133e+03,                    2.107526531409305790e+03
    9.581722780714328e+01,                    2.394759611091837542e+03,                    2.351825832873262243e+03,                    2.530416637833046934e+03,                    2.571659166429607922e+03,                    2.419209241307067259e+03,                    2.103263704077046896e+03
    9.583211574234723e+01,                    2.395722641221450431e+03,                    2.354298786572082918e+03,                    2.531429139454641245e+03,                    2.568533197124336766e+03,                    2.405780216884272704e+03,                    2.100793871002720152e+03
    9.584700799193391e+01,                    2.398449966809976104e+03,                    2.357882065751893606e+03,                    2.533298722874741088e+03,                    2.566150256240717681e+03,                    2.392748520790687962e+03,                    2.099913284999852294e+03
    9.586190488198656e+01,                    2.399189017757692909e+03,                    2.360552377022479959e+03,                    2.534192722932853030e+03,                    2.562571224107873604e+03,                    2.378852711597858161e+03,                    2.098593296097033999e+03
    9.587680617649525e+01,                    2.399951778665795246e+03,                    2.363275234904462195e+03,                    2.534998398279980847e+03,                    2.558856096294455710e+03,                    2.365361226490245372e+03,                    2.098174138092054363e+03
    9.589171169210142e+01,                    2.400489424855657489e+03,                    2.366043942639777015e+03,                    2.535736768721174485e+03,                    2.554907498893750926e+03,                    2.351958529955486483e+03,                    2.098535547684570702e+03
    9.590662128056549e+01,                    2.401117485786476664e+03,                    2.368873038707040450e+03,                    2.536431083017164383e+03,                    2.550612856529551209e+03,                    2.339010507072523978e+03,                    2.099839336721890049e+03
    9.592153481671559e+01,                    2.401687707147576475e+03,                    2.371737281546400482e+03,                    2.537086804523109549e+03,                    2.546044133124888958e+03,                    2.326425879167855783e+03,                    2.102004661095981191e+03
    9.593645219746030e+01,                    2.402179322118154232e+03,                    2.374627465340957315e+03,                    2.537655038118974971e+03,                    2.541492042648045299e+03,                    2.314221607354326807e+03,                    2.105137476979989515e+03
    9.595137333794833e+01,                    2.402476583570417461e+03,                    2.377543616760949135e+03,                    2.538182506823685344e+03,                    2.536746610459107615e+03,                    2.302421685515194440e+03,                    2.108886065262656302e+03
    9.596629816752504e+01,                    2.402861346409763883e+03,                    2.380477688973637214e+03,                    2.538648440542088792e+03,                    2.531816198044492012e+03,                    2.291184294854871496e+03,                    2.113893495263042496e+03
